Series,Character,Code,Rarity
Munchlings S2,Donald Duck,A115,Common
Munchlings S2,Cogsworth & Lumiere,A117,Common
Munchlings S2,Cogsworth & Minnie Mouse,A118,Common
Munchlings S2,Emile & Mickey Mouse,A121,Common
Munchlings S2,Daisy Duck & Donald Duck,A134,Common
Munchlings S2,Cogsworth & Donald Duck,A134,Common
Munchlings S2,Lumiere & Tigger,A149,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A150,Common
Munchlings S2,Daisy Duck & Donald Duck,A152,Common
Munchlings S2,Cogsworth & Tigger,A158,Common
Munchlings S2,Cogsworth & Mickey Mouse,A159,Common
Munchlings S2,Cogsworth & Lumiere,A161,Common
Munchlings S2,Mickey Mouse & Stitch,A163,Common
Munchlings S2,Mickey Mouse & Stitch,A166,Common
Munchlings S2,Mickey Mouse & Tigger,A167,Common
Munchlings S2,Mickey Mouse & Stitch,A168,Common
Munchlings S2,Lumiere & Stitch,A170,Common
Munchlings S2,Daisy Duck & Donald Duck,A172,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A177,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A181,Common
Munchlings S2,#VALUE!,A181,Common
Munchlings S2,Cogsworth & Tigger,A185,Common
Munchlings S2,Daisy Duck & Roo,A186,Common
Munchlings S2,Bianca & Mickey Mouse,A187,Common
Munchlings S2,Daisy Duck & Lumiere,A190,Common
Munchlings S2,Minnie Mouse & Stitch,A194,Common
Munchlings S2,Cogsworth & Mickey Mouse,A199,Common
Munchlings S2,Bianca & Daisy Duck,A202,Common
Munchlings S2,March Hare & Minnie Mouse,A207,Common
Munchlings S2,Daisy Duck & Minnie Mouse,A209,Common
Munchlings S2,Donald Duck & Mickey Mouse,A213,Common
Munchlings S2,Donald Duck & Minnie Mouse,A219,Common
Munchlings S2,Stitch & Tigger,A221,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A225,Common
Munchlings S2,Minnie Mouse & Roo,A227,Common
Munchlings S2,Donald Duck & Mickey Mouse,A243,Common
Munchlings S2,Donald Duck & Mickey Mouse,A244,Common
Munchlings S2,Lumiere & Minnie Mouse,A245,Common
Munchlings S2,Minnie Mouse,A246,Common
Munchlings S2,Minnie Mouse & Tigger,A246,Common
Munchlings S2,Lumiere & Tigger,A249,Common
Munchlings S2,Daisy Duck & Donald Duck,A250,Common
Munchlings S2,Cogsworth & Stitch,A252,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A253,Common
Munchlings S2,Daisy Duck & Mickey Mouse,A257,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A266,Common
Munchlings S2,Donald Duck & Mickey Mouse,A273,Common
Munchlings S2,Daisy Duck & Minnie Mouse,A276,Common
Munchlings S2,Cogsworth & Lumiere,A279,Common
Munchlings S2,Mickey Mouse & Mushu,A287,Common
Munchlings S2,Donald Duck & Minnie Mouse,A297,Common
Munchlings S2,Beast & Stitch,TL001,Common
Munchlings S2,Eeyore,74702,Common
Munchlings S2,Minnie Mouse,93,Common
Munchlings S2,Piglet,94,Common
Munchlings S2,Mickey Mouse,95,Common
Munchlings S2,Stitch,96,Common
Munchlings S2,Mickey Mouse,97,Common
Munchlings S2,Emile,98,Common
Munchlings S2,Bianca,99,Common
Munchlings S2,Lumiere,100,Common
Munchlings S2,Mickey Mouse,101,Common
Munchlings S2,Donald Duck,102,Common
Munchlings S2,March Hare,103,Common
Munchlings S2,Beast,104,Common
Munchlings S2,Roo,105,Common
Munchlings S2,Minnie Mouse,106,Common
Munchlings S2,Donald Duck,107,Common
Munchlings S2,Daisy Duck,108,Common
Munchlings S2,Tigger,109,Common
Munchlings S2,Red Panda Mei,110,Common
Munchlings S2,Mushu,111,Common
Munchlings S2,Cogsworth,112,Common
Munchlings SM,Nightmare Before Christmas,A001,Common
Munchlings SM,Minnie & Friends,A002,Common
Munchlings SM,Mickey & Friends,A003,Common
Munchlings SM,Toy Story,A004,Common
Munchlings SM,Moana,A005,Common
Munchlings SM,Winnie the Pooh,A006,Common
Munchlings SM,Lilo and Stitch,A007,Common
Munchlings SM,Minnie & Friends,A007,Common
Munchlings SM,Inside Out,A008,Common
Munchlings SM,Inside Out,TL001,Common
Munchlings SPopcorn,Minnie Mouse,A001,Common
Munchlings SPopcorn,Alien,A002,Common
Munchlings SPopcorn,Cheshire Cat,A003,Common
Munchlings SPopcorn,Stitch,A004,Common
